*
* Diensttypen
*
$DUTY:DutyID;DutyType
s18;day-Tripper
s19;day-Tripper
s57;day-Tripper
s19030;day-Block30
s54001;day-Block30
s60271;day-Block30
s74815;day-Split90-225
s74939;day-Split90-225
s89821;day-Split90-225
s91825;day-Split90-225
4;day-Split90-225
9;day-Split90-225
16;day-Block30
17;day-Block30
30;day-Block30
4077;day-Block30
28634;day-Block30
28742;day-Block30
30330;day-Split90-225
31602;day-Split90-225
42096;day-Block30
47549;day-Block30
52432;day-Block30
53469;day-Block30
55510;day-Block30
55800;day-Block30
56849;day-Block30
58036;day-Block30
58094;day-Block30
59449;day-Block30
60536;day-Block30
61813;day-Block30
62085;day-Split90-225
62578;day-Split90-225
62816;day-Split226-360
65482;day-Block30
65647;day-Split90-225
65721;day-Split226-360
65934;day-Block30
66481;day-Block30
66610;day-Split90-225
66953;day-Split90-225
67443;day-Split226-360
67462;day-Split226-360
67477;day-Split226-360
67490;day-Split226-360
67567;day-Split226-360
67593;day-Block30
67603;day-Block30
67614;day-Block30
67776;day-Block30
68201;day-Block30
*
* Dienste
* (mit ElementType: 1 = Servicefahrt, 2 = Leerfahrt Haltestellen, 3 = Fahrt ins Depot, 4 = Fahrt aus dem Depot, 5 = Vorbereitung, 6 = Nachbereitung, 7 = Transfer, 8 = Pause, 9 = Warten, 10 = LayoverTime)
$DUTYELEMENT:DutyID;BlockID;ServiceJourneyID;FromStopID;ToStopID;DepTime;ArrTime;ElementType;ServiceJourneyCode
4;5;393218;8211;8213;0:04:43:00;0:05:29:00;1;-
4;5;393249;8213;8211;0:05:29:00;0:06:16:00;1;-
4;5;-1;8211;8211;0:06:16:00;0:06:25:00;9;
4;5;262171;8211;8196;0:06:25:00;0:07:19:00;1;-
4;5;-1;8196;8196;0:07:19:00;0:07:22:00;9;
4;5;262146;8196;8211;0:07:22:00;0:08:13:00;1;-
4;5;-1;8211;8211;0:08:13:00;0:08:25:00;9;
4;5;262172;8211;8196;0:08:25:00;0:09:19:00;1;-
4;5;-1;8196;8196;0:09:19:00;0:09:42:00;9;
4;5;262147;8196;8211;0:09:42:00;0:10:33:00;1;-
4;5;-1;8211;8211;0:10:33:00;0:10:43:00;9;
4;5;393233;8211;8213;0:10:43:00;0:11:29:00;1;-
4;-1;-1;8213;0;0:11:29:00;0:11:34:00;7;
4;-1;P;-1;-1;0:11:34:00;0:13:08:00;8;
4;-1;-1;0;0;0:13:08:00;0:13:13:00;7;
4;18;-1;0;8209;0:13:13:00;0:13:18:00;4;
4;18;655365;8209;8217;0:13:18:00;0:13:35:00;1;-
4;18;-1;8217;0;0:13:35:00;0:13:41:00;3;
4;-3;-1;0;-1;0:13:41:00;0:13:51:00;6;
9;-3;-1;-1;0;0:04:38:00;0:04:48:00;5;
9;7;-1;0;8201;0:04:48:00;0:05:05:00;4;
9;7;393286;8201;8211;0:05:05:00;0:05:36:00;1;-
9;7;-1;8211;8211;0:05:36:00;0:05:43:00;9;
9;7;393221;8211;8213;0:05:43:00;0:06:29:00;1;-
9;7;393278;8213;8211;0:06:29:00;0:07:16:00;1;-
9;7;-1;8211;8211;0:07:16:00;0:07:23:00;9;
9;7;393225;8211;8213;0:07:23:00;0:08:09:00;1;-
9;7;393265;8213;8211;0:08:09:00;0:08:56:00;1;-
9;7;-1;8211;8211;0:08:56:00;0:09:03:00;9;
9;7;393229;8211;8213;0:09:03:00;0:09:49:00;1;-
9;-1;P;-1;-1;0:09:49:00;0:13:29:00;8;
9;5;393253;8213;8211;0:13:29:00;0:14:16:00;1;-
9;5;-1;8211;8211;0:14:16:00;0:14:23:00;9;
9;5;393240;8211;8213;0:14:23:00;0:15:09:00;1;-
9;5;-1;8213;8213;0:15:09:00;0:15:49:00;9;
9;-1;-1;8213;0;0:15:49:00;0:15:54:00;7;
